max in k: 2451.449435, sumS: 25469116827.932892, total var 26053589104.478317
max in k: 2431.664707, sumS: 25475029821.178825, total var 26053589104.478317
max in k: 2425.175225, sumS: 25480911296.052883, total var 26053589104.478317
max in k: 2411.251659, sumS: 25486725430.617046, total var 26053589104.478317
max in k: 2393.632598, sumS: 25492454907.632351, total var 26053589104.478317
max in k: 2387.468031, sumS: 25498154911.229187, total var 26053589104.478317
max in k: 2382.815466, sumS: 25503832720.775749, total var 26053589104.478317
max in k: 2354.577838, sumS: 25509376757.571716, total var 26053589104.478317
max in k: 2352.883944, sumS: 25514912820.427464, total var 26053589104.478317
max in k: 2343.766569, sumS: 25520406062.159027, total var 26053589104.478317
max in k: 2330.313556, sumS: 25525836423.428898, total var 26053589104.478317
max in k: 2319.369917, sumS: 25531215900.240040, total var 26053589104.478317
max in k: 2302.612614, sumS: 25536517925.088409, total var 26053589104.478317
max in k: 2286.178761, sumS: 25541744538.414951, total var 26053589104.478317
max in k: 2282.533451, sumS: 25546954497.368862, total var 26053589104.478317
max in k: 2273.141390, sumS: 25552121669.145626, total var 26053589104.478317
max in k: 2264.596655, sumS: 25557250067.153603, total var 26053589104.478317
max in k: 2245.361506, sumS: 25562291715.446777, total var 26053589104.478317
max in k: 2240.517601, sumS: 25567311634.566105, total var 26053589104.478317
max in k: 2223.768558, sumS: 25572256781.166744, total var 26053589104.478317
max in k: 2207.730363, sumS: 25577130854.521908, total var 26053589104.478317
max in k: 2198.506546, sumS: 25581964285.552700, total var 26053589104.478317
max in k: 2185.982515, sumS: 25586742805.110313, total var 26053589104.478317
max in k: 2177.025716, sumS: 25591482246.079590, total var 26053589104.478317
max in k: 2168.760713, sumS: 25596185769.109219, total var 26053589104.478317
max in k: 2148.044042, sumS: 25600799862.316532, total var 26053589104.478317
max in k: 2140.277816, sumS: 25605380651.446075, total var 26053589104.478317
max in k: 2133.479337, sumS: 25609932385.528355, total var 26053589104.478317
max in k: 2119.131893, sumS: 25614423105.506973, total var 26053589104.478317
max in k: 2113.991907, sumS: 25618892067.289200, total var 26053589104.478317
max in k: 2101.387636, sumS: 25623307897.287891, total var 26053589104.478317
max in k: 2089.489912, sumS: 25627673865.380257, total var 26053589104.478317
max in k: 2076.709229, sumS: 25631986586.604053, total var 26053589104.478317
max in k: 2072.478745, sumS: 25636281754.750763, total var 26053589104.478317
max in k: 2059.665800, sumS: 25640523977.958870, total var 26053589104.478317
max in k: 2045.137554, sumS: 25644706565.574432, total var 26053589104.478317
max in k: 2021.042205, sumS: 25648791177.167183, total var 26053589104.478317
max in k: 2020.182545, sumS: 25652872314.680786, total var 26053589104.478317
max in k: 2009.297119, sumS: 25656909589.594048, total var 26053589104.478317
max in k: 2005.186670, sumS: 25660930363.173939, total var 26053589104.478317
max in k: 1994.971363, sumS: 25664910273.913483, total var 26053589104.478317
max in k: 1991.254385, sumS: 25668875367.938999, total var 26053589104.478317
max in k: 1971.663910, sumS: 25672762826.512863, total var 26053589104.478317
max in k: 1967.804262, sumS: 25676635080.126774, total var 26053589104.478317
max in k: 1957.044169, sumS: 25680465102.004627, total var 26053589104.478317
max in k: 1950.922000, sumS: 25684271198.654289, total var 26053589104.478317
max in k: 1947.165762, sumS: 25688062653.160473, total var 26053589104.478317
max in k: 1937.936935, sumS: 25691818252.724808, total var 26053589104.478317
max in k: 1930.683812, sumS: 25695545792.708603, total var 26053589104.478317
max in k: 1917.926919, sumS: 25699224236.376270, total var 26053589104.478317
max in k: 1908.790024, sumS: 25702867715.730621, total var 26053589104.478317
max in k: 1891.005724, sumS: 25706443618.378799, total var 26053589104.478317
max in k: 1889.373265, sumS: 25710013349.712322, total var 26053589104.478317
max in k: 1874.411820, sumS: 25713526769.385117, total var 26053589104.478317
max in k: 1871.786306, sumS: 25717030353.359196, total var 26053589104.478317
max in k: 1866.503822, sumS: 25720514189.875267, total var 26053589104.478317
max in k: 1855.110014, sumS: 25723955623.038918, total var 26053589104.478317
max in k: 1849.745372, sumS: 25727377180.978687, total var 26053589104.478317
max in k: 1846.214543, sumS: 25730785689.115780, total var 26053589104.478317
max in k: 1832.061505, sumS: 25734142138.473442, total var 26053589104.478317
max in k: 1819.494350, sumS: 25737452698.164612, total var 26053589104.478317
max in k: 1806.509161, sumS: 25740716173.513149, total var 26053589104.478317
max in k: 1800.078370, sumS: 25743956455.650753, total var 26053589104.478317
max in k: 1791.510114, sumS: 25747165964.138477, total var 26053589104.478317
max in k: 1781.793432, sumS: 25750340751.973885, total var 26053589104.478317
max in k: 1772.382551, sumS: 25753482091.880001, total var 26053589104.478317
max in k: 1759.184915, sumS: 25756576823.445618, total var 26053589104.478317
max in k: 1757.180441, sumS: 25759664506.548641, total var 26053589104.478317
max in k: 1748.490625, sumS: 25762721726.012775, total var 26053589104.478317
max in k: 1742.575600, sumS: 25765758295.735542, total var 26053589104.478317
